Sum-free game on Z_n: Grundy(empty), multiplier-quotient solver
   n    G            memo         sec    mod6  law
   1    0               1       0.000       1  P
   2    1               2       0.000       2  N
   3    1               2       0.000       3  N
   4    2               4       0.000       4  N
   5    0               3       0.000       5  P
   6    0               9       0.000       0  P
   7    0               4       0.000       1  P
   8    2              13       0.000       2  N
   9    1               9       0.000       3  N
  10    1              23       0.000       4  N
  11    0              10       0.000       5  P
  12    0              55       0.000       0  P
  13    0              17       0.000       1  P
  14    2              62       0.000       2  N
  15    2              58       0.000       3  N
  16    3             106       0.000       4  N
  17    0              47       0.000       5  P
  18    0             260       0.000       0  P
  19    0              80       0.000       1  P
  20    2             412       0.000       2  N
  21    1             247       0.000       3  N
  22    3             567       0.001       4  N
  23    0             238       0.000       5  P
  24    0            1593       0.001       0  P
  25    0             519       0.001       1  P
  26    2            1765       0.003       2  N
  27    1            1049       0.002       3  N
  28    2            3519       0.005       4  N
  29    0            1216       0.002       5  P
  30    0           10477       0.007       0  P
  31    0            2064       0.004       1  P
  32    3            9583       0.016       2  N
  33    1            5920       0.009       3  N
  34    1           17712       0.031       4  N
  35    0            8999       0.017       5  P
  36    0           45814       0.068       0  P
  37    0           10117       0.031       1  P
  38    1           56538       0.145       2  N
  39    1           27293       0.060       3  N
  40    2          127569       0.324       4  N
  41    0           28754       0.115       5  P
  42    0          306606       0.655       0  P
  43    0           47943       0.219       1  P
  44    2          351460       1.395       2  N
  45    1          159793       0.478       3  N
  46    2          600920       3.009       4  N
  47    0          133538       0.788       5  P
  48    0         1592279       6.797       0  P
  49    0          247390       1.448       1  P
  50    1         2463685      14.852       2  N
  51    1          578318       2.860       3  N
  52    2         3839130      28.474       4  N
  53    0          603619       4.621       5  P
  54    0         9845231      60.449       0  P
  55    0         1512962      10.337       1  P
  56    2        14295059     123.628       2  N
  57    1         2526231      15.615       3  N
  58    3        23665513     258.762       4  N
  59    0         2662382      27.613       5  P
  60    0        81889094     629.726       0  P
  61    0         4336417      49.903       1  P
  62    3        83558431    1238.213       2  N
  63    1        11888144      98.158       3  N
  64    2       153512437    2729.683       4  N
  65    0        17379447     220.028       5  P
