row	side	round	elapsed_ns	answer	work	peak_rss_kib	instructions	cycles	branches	branch_misses
W2	baseline	0	3182582	60	2488335	2412	101189009	14994117	17499607	48089
W2	current	0	566005	60	75840	2652	12063935	3671711	2620754	21589
W2	current	1	586744	60	75840	2536	12063453	3672685	2620604	21535
W2	baseline	1	2925512	60	2488335	2496	101189518	14775212	17499788	47508
W2	baseline	2	2792215	60	2488335	2480	101189362	14991293	17499736	47453
W2	current	2	623662	60	75840	2648	12063231	3684674	2620533	21602
W2	current	3	519118	60	75840	2552	12063796	3838925	2620711	21437
W2	baseline	3	3592586	60	2488335	2540	101189097	17126461	17499631	119958
W2	baseline	4	2990113	60	2488335	2576	101189233	16027335	17499683	89465
W2	current	4	601861	60	75840	2668	12063805	3562494	2620724	21632
W2	current	5	715263	60	75840	2580	12063284	3926425	2620551	21302
W2	baseline	5	3163817	60	2488335	2536	101189252	17067031	17499822	54479
W2	baseline	6	2802884	60	2488335	2540	101188796	14926465	17499546	47478
W2	current	6	519178	60	75840	2692	12063499	3712387	2620610	21571
W2	current	7	527994	60	75840	2600	12063767	3715921	2620702	21635
W2	baseline	7	3532665	60	2488335	2472	101189460	17147005	17499765	131124
W2	baseline	8	2791593	60	2488335	2528	101189303	14929726	17499701	48221
W2	current	8	616139	60	75840	2668	12063649	3664562	2620668	21647
W2	current	9	1000785	60	75840	2560	12063405	3687723	2620587	21557
W2	baseline	9	3193262	60	2488335	2500	101189269	14769356	17499695	47434
W2	baseline	10	2891990	60	2488335	2512	101188832	15145102	17499546	48707
W2	current	10	591362	60	75840	2648	12062889	3527602	2620408	21585
W3	baseline	0	1266084177	300	172078925	22444	40239310602	6130662017	7216261871	2125287
W3	current	0	1958621	300	224842	3440	42981235	9698485	9293514	24215
W3	current	1	1973078	300	224842	3492	42980939	9721340	9293418	24404
W3	baseline	1	1269374279	300	172078925	22416	40239310436	6146155358	7216261818	2088394
W3	baseline	2	1268355893	300	172078925	22372	40239311063	6137840872	7216262033	2078966
W3	current	2	1918927	300	224842	3472	42981412	9749269	9293571	24331
W3	current	3	1906573	300	224842	3416	42980649	9669154	9293308	24281
W3	baseline	3	1269204875	300	172078925	22340	40239311051	6138179848	7216262044	2075028
W3	baseline	4	1283380820	300	172078925	22400	40239310912	6201361678	7216262014	2123597
W3	current	4	1950055	300	224842	3524	42981429	9729661	9293563	24311
W3	current	5	2017370	300	224842	3408	42981243	9610456	9293505	24541
W3	baseline	5	1286378176	300	172078925	22364	40239310523	6211431627	7216261869	2083181
W3	baseline	6	1283212558	300	172078925	22196	40239310490	6198825264	7216261879	2142381
W3	current	6	1899681	300	224842	3536	42980801	9653476	9293360	24291
W3	current	7	1801227	300	224842	3524	42980440	9595279	9293251	24408
W3	baseline	7	1266169332	300	172078925	22432	40239310167	6108703891	7216261721	2125415
W3	baseline	8	1274620705	300	172078925	22428	40239310817	6147013800	7216261959	2070057
W3	current	8	2117196	300	224842	3380	42980944	9734983	9293415	24305
W3	current	9	2034011	300	224842	3472	42980519	9705027	9293266	24333
W3	baseline	9	1271021628	300	172078925	22472	40239309908	6130572869	7216261669	2130305
W3	baseline	10	1274105026	300	172078925	22440	40239310005	6142646358	7216261679	2052985
W3	current	10	2132294	300	224842	3444	42981239	9621534	9293518	24591
L2	baseline	0	143576476397	10	1466440	29036	1916602819708	718890886230	652834969305	12348459990
L2	current	0	132327086388	10	1466440	29488	1916601127201	661790368239	652835856592	12431177033
