round	demands	mode	elapsed_ns	repaired	transitions	peak_states	pruned	comparisons	witness_bytes	verified	peak_rss_kib
0	8	legacy	244493864	8	17295	6192	0	0	0	0	3320
0	8	exact	25985092	8	17295	6192	7303	38394212	233728	7303	4360
0	8	clamped	288677	8	3122	233	1988	121873	63648	1988	4176
0	10	legacy	2548473714	9	76779	16761	0	0	0	0	7676
0	10	exact	221131098	9	76779	16761	34522	392419606	1104744	34522	11620
0	10	clamped	6620532	9	22574	1942	13160	7249173	421160	13160	11620
0	12	legacy	18272348778	10	258499	28669	0	0	0	0	14724
0	12	exact	1318570464	10	258499	28669	127608	2080594267	4083504	127608	30112
0	12	clamped	71994788	10	83383	6227	44979	90008922	1439376	44979	30112
0	14	legacy	56435987041	10	476352	50277	0	0	0	0	30112
0	14	exact	5115396753	10	476352	50277	230525	5814033477	7376856	230525	42096
0	14	clamped	1099006099	10	253544	18936	133508	795724500	4272312	133508	42096
0	16	legacy	132218093042	10	851424	76752	0	0	0	0	42096
0	16	exact	12355545516	10	851424	76752	388642	14615108426	12436608	388642	71328
0	16	clamped	2264799514	10	535413	30571	277100	3227000786	8867264	277100	71328
0	18	legacy	303286288428	10	1466440	111079	0	0	0	0	71328
0	18	exact	28029593690	10	1466440	111079	632666	35421952056	20245384	632666	114964
0	18	clamped	6980924500	10	918092	48491	458809	8737771189	14681960	458809	114964
1	10	exact	320183270	9	76779	16761	34522	392419606	1104744	34522	114964
1	10	clamped	8277295	9	22574	1942	13160	7249173	421160	13160	114964
1	10	legacy	2190042494	9	76779	16761	0	0	0	0	114964
1	12	exact	1106201113	10	258499	28669	127608	2080594267	4083504	127608	114964
1	12	clamped	58345213	10	83383	6227	44979	90008922	1439376	44979	114964
1	12	legacy	14648399199	10	258499	28669	0	0	0	0	114964
1	14	exact	4784711325	10	476352	50277	230525	5814033477	7376856	230525	114964
1	14	clamped	714879578	10	253544	18936	133508	795724500	4272312	133508	114964
1	14	legacy	43352743930	10	476352	50277	0	0	0	0	114964
1	16	exact	8829885310	10	851424	76752	388642	14615108426	12436608	388642	114964
1	16	clamped	2029782909	10	535413	30571	277100	3227000786	8867264	277100	114964
1	16	legacy	94623750841	10	851424	76752	0	0	0	0	114964
1	18	exact	11828370545	10	1466440	111079	632666	35421952056	20245384	632666	115908
1	18	clamped	4545756895	10	918092	48491	458809	8737771189	14681960	458809	115908
