demands	mode	rounds	median_ms	repaired	transitions	peak_states	pruned	comparisons	witness_bytes	verified	peak_rss_kib
8	clamped	3	0.307	8	3122	233	1988	121873	63648	1988	115624
8	exact	3	14.077	8	17295	6192	7303	38394212	233728	7303	115624
8	legacy	3	134.479	8	17295	6192	0	0	0	0	115624
10	clamped	3	4.720	9	22574	1942	13160	7249173	421160	13160	115624
10	exact	3	141.112	9	76779	16761	34522	392419606	1104744	34522	115624
10	legacy	3	1644.337	9	76779	16761	0	0	0	0	115624
12	clamped	3	36.258	10	83383	6227	44979	90008922	1439376	44979	115624
12	exact	3	698.352	10	258499	28669	127608	2080594267	4083504	127608	115624
12	legacy	3	10086.528	10	258499	28669	0	0	0	0	115624
14	clamped	3	281.998	10	253544	18936	133508	795724500	4272312	133508	115624
14	exact	3	1859.466	10	476352	50277	230525	5814033477	7376856	230525	115624
14	legacy	3	30228.804	10	476352	50277	0	0	0	0	115624
16	clamped	3	2463.349	10	535413	30571	277100	3227000786	8867264	277100	115624
16	exact	3	4585.717	10	851424	76752	388642	14615108426	12436608	388642	115624
16	legacy	3	69905.185	10	851424	76752	0	0	0	0	115624
18	clamped	3	2864.110	10	918092	48491	458809	8737771189	14681960	458809	115624
18	exact	3	11947.164	10	1466440	111079	632666	35421952056	20245384	632666	115624
18	legacy	3	171169.079	10	1466440	111079	0	0	0	0	115624

demands	legacy_ms	exact_ms	clamped_ms	exact_x	clamped_x
8	134.479	14.077	0.307	9.55	437.49
10	1644.337	141.112	4.720	11.65	348.35
12	10086.528	698.352	36.258	14.44	278.19
14	30228.804	1859.466	281.998	16.26	107.20
16	69905.185	4585.717	2463.349	15.24	28.38
18	171169.079	11947.164	2864.110	14.33	59.76
