round	demands	mode	elapsed_ns	repaired	transitions	peak_states	pruned	comparisons	witness_bytes	verified	peak_rss_kib
0	8	legacy	126770724	8	17295	6192	0	0	0	0	3424
0	8	exact	13892897	8	17295	6192	7303	38394212	233728	7303	4456
0	8	clamped	308294	8	3122	233	1988	121873	63648	1988	4276
0	10	legacy	1499851221	9	76779	16761	0	0	0	0	7776
0	10	exact	131631647	9	76779	16761	34522	392419606	1104744	34522	11720
0	10	clamped	4720383	9	22574	1942	13160	7249173	421160	13160	11720
0	12	legacy	9655149110	10	258499	28669	0	0	0	0	14824
0	12	exact	640448595	10	258499	28669	127608	2080594267	4083504	127608	30212
0	12	clamped	34285439	10	83383	6227	44979	90008922	1439376	44979	30212
0	14	legacy	29626462308	10	476352	50277	0	0	0	0	30212
0	14	exact	1822760098	10	476352	50277	230525	5814033477	7376856	230525	42196
0	14	clamped	275832287	10	253544	18936	133508	795724500	4272312	133508	42196
0	16	legacy	69860730697	10	851424	76752	0	0	0	0	42196
0	16	exact	4413783575	10	851424	76752	388642	14615108426	12436608	388642	71236
0	16	clamped	1010014856	10	535413	30571	277100	3227000786	8867264	277100	71236
0	18	legacy	202708571770	10	1466440	111079	0	0	0	0	71236
0	18	exact	21373039537	10	1466440	111079	632666	35421952056	20245384	632666	114680
0	18	clamped	5332641074	10	918092	48491	458809	8737771189	14681960	458809	114680
1	10	exact	247335583	9	76779	16761	34522	392419606	1104744	34522	114680
1	10	clamped	7126779	9	22574	1942	13160	7249173	421160	13160	114680
1	10	legacy	2162496207	9	76779	16761	0	0	0	0	114680
1	12	exact	1089845634	10	258499	28669	127608	2080594267	4083504	127608	114680
1	12	clamped	58261969	10	83383	6227	44979	90008922	1439376	44979	114680
1	12	legacy	10228305870	10	258499	28669	0	0	0	0	114680
1	14	exact	1859465682	10	476352	50277	230525	5814033477	7376856	230525	114680
1	14	clamped	284959890	10	253544	18936	133508	795724500	4272312	133508	114680
1	14	legacy	38645844536	10	476352	50277	0	0	0	0	114680
1	16	exact	11191852107	10	851424	76752	388642	14615108426	12436608	388642	114680
1	16	clamped	2721846000	10	535413	30571	277100	3227000786	8867264	277100	114680
1	16	legacy	69905185345	10	851424	76752	0	0	0	0	114680
1	18	exact	10880660212	10	1466440	111079	632666	35421952056	20245384	632666	115624
1	18	clamped	2819727291	10	918092	48491	458809	8737771189	14681960	458809	115624
1	18	legacy	171169078511	10	1466440	111079	0	0	0	0	115624
1	8	exact	14076525	8	17295	6192	7303	38394212	233728	7303	115624
1	8	clamped	293045	8	3122	233	1988	121873	63648	1988	115624
1	8	legacy	134479448	8	17295	6192	0	0	0	0	115624
2	12	clamped	36257728	10	83383	6227	44979	90008922	1439376	44979	115624
2	12	legacy	10086528029	10	258499	28669	0	0	0	0	115624
2	12	exact	698352303	10	258499	28669	127608	2080594267	4083504	127608	115624
2	14	clamped	281998228	10	253544	18936	133508	795724500	4272312	133508	115624
2	14	legacy	30228804413	10	476352	50277	0	0	0	0	115624
2	14	exact	3611192956	10	476352	50277	230525	5814033477	7376856	230525	115624
2	16	clamped	2463348840	10	535413	30571	277100	3227000786	8867264	277100	115624
2	16	legacy	89230939091	10	851424	76752	0	0	0	0	115624
2	16	exact	4585717134	10	851424	76752	388642	14615108426	12436608	388642	115624
2	18	clamped	2864110463	10	918092	48491	458809	8737771189	14681960	458809	115624
2	18	legacy	170529794933	10	1466440	111079	0	0	0	0	115624
2	18	exact	11947164204	10	1466440	111079	632666	35421952056	20245384	632666	115624
2	8	clamped	307392	8	3122	233	1988	121873	63648	1988	115624
2	8	legacy	140778801	8	17295	6192	0	0	0	0	115624
2	8	exact	15390519	8	17295	6192	7303	38394212	233728	7303	115624
2	10	clamped	4531445	9	22574	1942	13160	7249173	421160	13160	115624
2	10	legacy	1644337104	9	76779	16761	0	0	0	0	115624
2	10	exact	141112021	9	76779	16761	34522	392419606	1104744	34522	115624
