capacity	demands	bespoke_repaired	bespoke_work	generic_status	generic_repaired	oracle_repaired	agree	bespoke_ns	generic_ns	oracle_ns
1	1	1	1	declined	-1	1	declined	852	9929	6241
1	3	1	3	declined	-1	1	declined	110	2825	4809
1	6	1	3	declined	-1	1	declined	90	3376	5851
1	12	1	3	declined	-1	1	declined	100	4227	6412
1	24	1	3	certified	1	1	yes	100	14136	10349
1	60	1	3	certified	1	1	yes	80	16421	14597
1	240	1	3	certified	1	1	yes	80	47980	46997
1	1200	1	3	certified	1	1	yes	90	3233634	209440
1	100000	1	3	not-constructible	-1	-1	unmeasured	932	0	0
2	1	1	1	declined	-1	1	declined	90	2525	6843
2	3	2	2	declined	-1	2	declined	91	2414	10279
2	6	2	5	declined	-1	2	declined	120	3487	47558
2	12	2	5	declined	-1	2	declined	120	5400	88344
2	24	2	5	certified	2	2	yes	120	64681	48149
2	60	2	5	certified	2	2	yes	120	56926	61625
2	240	2	5	certified	2	2	yes	90	103723	107420
2	1200	2	5	certified	2	2	yes	101	364177	366161
2	100000	2	5	not-constructible	-1	-1	unmeasured	100	0	0
3	1	1	1	declined	-1	1	declined	80	1142	3767
3	3	3	1	declined	-1	3	declined	80	1934	11531
3	6	3	4	declined	-1	3	declined	110	3096	332448
3	12	3	7	declined	-1	3	declined	140	5630	440289
3	24	3	7	certified	3	3	yes	171	3721260	756647
3	60	3	7	certified	3	3	yes	571	736039	726801
3	240	3	7	certified	3	3	yes	511	3815937	788697
3	1200	3	7	certified	3	3	yes	441	1037269	4048149
3	100000	3	7	not-constructible	-1	-1	unmeasured	461	0	0
4	1	1	1	declined	-1	1	declined	80	2334	5671
4	3	3	1	declined	-1	3	declined	80	2314	15268
4	6	4	3	declined	-1	4	declined	110	3687	199401
4	12	4	9	declined	-1	4	declined	150	5510	7197235
4	24	4	9	certified	4	4	yes	471	13158261	16203946
4	60	4	9	certified	4	4	yes	1062	13081338	16744771
4	240	4	9	certified	4	4	yes	1312	12967285	13155866
4	1200	4	9	certified	4	4	yes	1252	16815753	13373792
4	100000	4	9	not-constructible	-1	-1	unmeasured	1062	0	0
5	1	1	1	declined	-1	1	declined	70	7744	8946
5	3	3	1	declined	-1	3	declined	91	2825	19787
5	6	5	2	declined	-1	5	declined	90	3707	338870
5	12	5	8	declined	-1	5	declined	150	5671	40302662
5	24	5	11	declined	-1	5	declined	902	59862710	125007843
5	60	5	11	certified	5	5	yes	981	50972926	50732189
5	240	5	11	certified	5	5	yes	952	53379963	49618668
5	1200	5	11	certified	5	5	yes	822	52209486	49317377
5	100000	5	11	not-constructible	-1	-1	unmeasured	942	0	0
6	1	1	1	declined	-1	1	declined	60	4579	6302
6	3	3	1	declined	-1	3	declined	50	1312	16301
6	6	6	1	declined	-1	6	declined	50	1342	399503
6	12	6	7	declined	-1	6	declined	110	2124	28238026
6	24	6	13	declined	-1	6	declined	721	8015	239743392
6	60	6	13	declined	-1	6	declined	831	12493	1082223503
6	240	6	13	declined	-1	6	declined	1092	36177	5478694727
6	1200	6	13	declined	-1	-1	declined-oracle-skipped	932	3258991	0
6	100000	6	13	not-constructible	-1	-1	unmeasured	310	0	0
8	1	1	1	declined	-1	1	declined	81	1412	6322
8	3	3	1	declined	-1	3	declined	70	1502	20017
8	6	6	1	declined	-1	6	declined	80	2084	1154567
8	12	8	5	declined	-1	8	declined	160	4018	144453860
8	24	8	17	declined	-1	8	declined	641	9026	2584460573
8	60	8	17	declined	-1	-1	declined-oracle-skipped	841	14187	0
8	240	8	17	declined	-1	-1	declined-oracle-skipped	160	30367	0
8	1200	8	17	declined	-1	-1	declined-oracle-skipped	130	142094	0
8	100000	8	17	not-constructible	-1	-1	unmeasured	131	0	0
12	1	1	1	declined	-1	1	declined	70	1213	4839
12	3	3	1	declined	-1	3	declined	50	1263	16440
12	6	6	1	declined	-1	6	declined	51	1512	844251
12	12	12	1	declined	-1	12	declined	60	2795	804819373
12	24	13	12	declined	-1	13	declined	932	9207	93661326044
12	60	13	24	declined	-1	-1	declined-oracle-skipped	5140	31900	0
12	240	13	24	declined	-1	-1	declined-oracle-skipped	221	29575	0
12	1200	13	24	declined	-1	-1	declined-oracle-skipped	181	136384	0
12	100000	13	24	not-constructible	-1	-1	unmeasured	150	0	0
100000	1	1	1	not-constructible	-1	-1	unmeasured	60	0	0
100000	3	3	1	not-constructible	-1	-1	unmeasured	60	0	0
100000	6	6	1	not-constructible	-1	-1	unmeasured	70	0	0
100000	12	12	1	not-constructible	-1	-1	unmeasured	50	0	0
100000	24	24	1	not-constructible	-1	-1	unmeasured	50	0	0
100000	60	60	1	not-constructible	-1	-1	unmeasured	51	0	0
100000	240	240	1	not-constructible	-1	-1	unmeasured	50	0	0
100000	1200	1200	1	not-constructible	-1	-1	unmeasured	50	0	0
100000	100000	100000	1	not-constructible	-1	-1	unmeasured	50	0	0
