# C1053 repair-DAG BFS map merge: interleaved A/B raw samples and summary
# variant	application:rdag:rust:21:3
# host_cpu_pinned	3
# rustc	rustc 1.93.1 (01f6ddf75 2026-02-11)
# control_binary	bench_kernels-3c4dd0293	sha256=ce3e0b06018d5de706f11fa3b0d942632a9e15980e09db92a507475060ff38e1
# candidate_binary	bench_kernels-c1053-cap64	sha256=f6d1bcac3994dabad84a829ebe9592d4b9f45fc5187997832cc2ccefb0483f10
# rejected_cap4096_binary	bench_kernels-c1053-candidate	sha256=530c3921b381ff00129915f0ad531a8a3eb98425ad8341d5c5d245325dbab43b
# profiles	cold=1 repetition, warm_batch=8 repetitions (BENCHMARKS.md protocol), kernel=1024 repetitions (startup-amortized, added here)
# sampler	scripts recorded verbatim below the tables

[accepted candidate: REPAIR_DAG_RESERVATION_CAP = 64] raw samples
round	profile	reps	arm	elapsed_ns	work	checksum	peak_rss_kib	instructions	cycles	branches	branch_misses
1	cold	1	old	820155	4	3	2112	457849	701118	89073	5283
1	cold	1	new	72104	4	3	2120	456859	604929	88918	5250
1	warm_batch	8	old	57116	32	24	2128	861528	730475	177037	6037
1	warm_batch	8	new	57787	32	24	2128	844542	730782	174406	6032
1	kernel	1024	old	7801037	4096	3072	2060	59890247	19100370	13056592	20573
1	kernel	1024	new	7870436	4096	3072	2052	57604985	19297549	12762812	16368
2	cold	1	new	18254	4	3	2136	456804	554487	88871	5255
2	cold	1	old	19115	4	3	2128	457580	564760	88957	5292
2	warm_batch	8	new	56756	32	24	2092	844759	711763	174479	6143
2	warm_batch	8	old	55483	32	24	2020	860569	715055	176718	6010
2	kernel	1024	new	7745754	4096	3072	2108	57604970	19312981	12762805	16586
2	kernel	1024	old	7694820	4096	3072	2112	59889789	19135685	13056438	22192
3	cold	1	old	19186	4	3	2104	458269	584556	89186	5353
3	cold	1	new	19416	4	3	2076	457680	567070	89163	5299
3	warm_batch	8	old	54151	32	24	2048	861158	705841	176915	5981
3	warm_batch	8	new	56495	32	24	2100	844464	710530	174380	6137
3	kernel	1024	old	7666146	4096	3072	2080	59890397	19044801	13056642	20552
3	kernel	1024	new	7666527	4096	3072	2116	57605443	19132785	12762939	16970
4	cold	1	new	17994	4	3	2128	456739	553470	88850	5255
4	cold	1	old	19516	4	3	2136	458361	574772	89218	5245
4	warm_batch	8	new	58690	32	24	2024	845220	721165	174632	6025
4	warm_batch	8	old	56324	32	24	2072	860886	693189	176823	5930
4	kernel	1024	new	7883951	4096	3072	2136	57605845	19488071	12763096	16434
4	kernel	1024	old	10800204	4096	3072	2088	59890202	19099458	13056574	20806
5	cold	1	old	18294	4	3	2128	458707	551289	89332	5305
5	cold	1	new	18875	4	3	2048	456967	564791	88926	5324
5	warm_batch	8	old	55453	32	24	2056	860983	695619	176856	6018
5	warm_batch	8	new	56385	32	24	2020	844883	693176	174519	5962
5	kernel	1024	old	10822837	4096	3072	2056	59889518	19117718	13056323	21442
5	kernel	1024	new	10881104	4096	3072	2044	57604808	19315964	12762750	16254
6	cold	1	new	16952	4	3	1996	457367	548775	89058	5272
6	cold	1	old	19025	4	3	2076	458023	546651	89104	5325
6	warm_batch	8	new	60302	32	24	2140	844950	821889	174542	6025
6	warm_batch	8	old	56585	32	24	2060	861084	707806	176889	6027
6	kernel	1024	new	7902937	4096	3072	2104	57605067	19257334	12762838	15946
6	kernel	1024	old	7842273	4096	3072	2140	59889858	19046674	13056463	21026
7	cold	1	old	18775	4	3	2132	457448	571703	88913	5282
7	cold	1	new	20047	4	3	2128	457170	559363	88993	5304
7	warm_batch	8	old	56144	32	24	2100	861096	715705	176893	5946
7	warm_batch	8	new	58478	32	24	2060	844939	709759	174539	6036
7	kernel	1024	old	7827065	4096	3072	2136	59890349	19080291	13056626	20288
7	kernel	1024	new	7907725	4096	3072	2020	57605037	19334175	12762828	16072
8	cold	1	new	17753	4	3	2088	457309	563907	89040	5345
8	cold	1	old	19696	4	3	2136	458515	636503	89268	5233
8	warm_batch	8	new	57718	32	24	2016	845549	720423	174741	6011
8	warm_batch	8	old	56365	32	24	2044	860960	698685	176849	6024
8	kernel	1024	new	7841292	4096	3072	2092	57605314	19142804	12762921	16655
8	kernel	1024	old	7893530	4096	3072	2096	59889831	19067370	13056452	20440
9	cold	1	old	18695	4	3	2136	458077	626446	89122	5302
9	cold	1	new	17202	4	3	2016	456934	563192	88913	5298
9	warm_batch	8	old	54802	32	24	2148	860695	695347	176760	6041
9	warm_batch	8	new	56956	32	24	2020	845573	715809	174749	6052
9	kernel	1024	old	7768526	4096	3072	2052	59889688	18891395	13056405	20417
9	kernel	1024	new	7903658	4096	3072	2016	57605396	19156706	12762947	17060
10	cold	1	new	19056	4	3	2144	457026	576466	88945	5273
10	cold	1	old	20137	4	3	2020	458161	561456	89150	5281
10	warm_batch	8	new	58299	32	24	2024	845100	714515	174592	6048
10	warm_batch	8	old	61955	32	24	2100	861198	711285	176927	6099
10	kernel	1024	new	7911152	4096	3072	2024	57604850	19338227	12762765	17902
10	kernel	1024	old	10834479	4096	3072	2152	59890270	19125521	13056598	21148
11	cold	1	old	23724	4	3	2004	457576	558720	88957	5281
11	cold	1	new	18525	4	3	2152	456672	553087	88827	5249
11	warm_batch	8	old	58128	32	24	2152	860826	770423	176803	6023
11	warm_batch	8	new	57397	32	24	2084	844837	709460	174505	6037
11	kernel	1024	old	7802520	4096	3072	2052	59890306	19066989	13056611	20522
11	kernel	1024	new	7876037	4096	3072	2124	57605559	19406536	12762998	16426
12	cold	1	new	17934	4	3	2084	457369	552242	89060	5292
12	cold	1	old	20368	4	3	2044	457946	558134	89079	5321
12	warm_batch	8	new	58359	32	24	2060	844586	710695	174422	6023
12	warm_batch	8	old	56094	32	24	2092	861086	708895	176891	6129
12	kernel	1024	new	10863833	4096	3072	2052	57605419	19196032	12762953	16781
12	kernel	1024	old	7783404	4096	3072	2040	59889989	18972863	13056506	20721
13	cold	1	old	18935	4	3	2120	458347	634756	89212	5286
