implementation	family	states	generators	outputs	repetitions	ns_per_op	classes	splits_optional
ergodis	chain	131072	1	2	1	15339642	131072	131070
mata	chain	131072	1	2	1	26372826	131072	-
mata	chain	131072	1	2	1	23753568	131072	-
ergodis	chain	131072	1	2	1	14719236	131072	131070
ergodis	chain	131072	1	2	1	14547747	131072	131070
mata	chain	131072	1	2	1	23502461	131072	-
mata	chain	131072	1	2	1	23521827	131072	-
ergodis	chain	131072	1	2	1	14642825	131072	131070
ergodis	chain	131072	1	2	1	14675966	131072	131070
mata	chain	131072	1	2	1	22017606	131072	-
mata	chain	131072	1	2	1	18860097	131072	-
ergodis	chain	131072	1	2	1	10500201	131072	131070
ergodis	chain	131072	1	2	1	10263931	131072	131070
mata	chain	131072	1	2	1	18991542	131072	-
ergodis	random	131072	4	2	1	60629620	131072	131070
mata	random	131072	4	2	1	202214027	131072	-
mata	random	131072	4	2	1	200731626	131072	-
ergodis	random	131072	4	2	1	63336090	131072	131070
ergodis	random	131072	4	2	1	63502139	131072	131070
mata	random	131072	4	2	1	202818813	131072	-
mata	random	131072	4	2	1	201522009	131072	-
ergodis	random	131072	4	2	1	62312053	131072	131070
ergodis	random	131072	4	2	1	61321259	131072	131070
mata	random	131072	4	2	1	207148845	131072	-
mata	random	131072	4	2	1	206155585	131072	-
ergodis	random	131072	4	2	1	60976877	131072	131070
ergodis	random	131072	4	2	1	61022362	131072	131070
mata	random	131072	4	2	1	202484751	131072	-
ergodis	colors	131072	4	256	1	4891688	256	0
mata	colors	131072	4	256	1	54955506	257	-
mata	colors	131072	4	256	1	54146309	257	-
ergodis	colors	131072	4	256	1	4712073	256	0
ergodis	colors	131072	4	256	1	4652633	256	0
mata	colors	131072	4	256	1	53519712	257	-
mata	colors	131072	4	256	1	54406092	257	-
ergodis	colors	131072	4	256	1	4738052	256	0
ergodis	colors	131072	4	256	1	4680956	256	0
mata	colors	131072	4	256	1	55344761	257	-
mata	colors	131072	4	256	1	54103279	257	-
ergodis	colors	131072	4	256	1	4764471	256	0
ergodis	colors	131072	4	256	1	4598703	256	0
mata	colors	131072	4	256	1	52282007	257	-
ergodis	stable	65536	128	2	1	598204	1	0
mata	stable	65536	128	2	1	637943773	1	-
mata	stable	65536	128	2	1	653176935	1	-
ergodis	stable	65536	128	2	1	566475	1	0
ergodis	stable	65536	128	2	1	568468	1	0
mata	stable	65536	128	2	1	642138051	1	-
mata	stable	65536	128	2	1	649425280	1	-
ergodis	stable	65536	128	2	1	581493	1	0
ergodis	stable	65536	128	2	1	598475	1	0
mata	stable	65536	128	2	1	648201441	1	-
mata	stable	65536	128	2	1	644755845	1	-
ergodis	stable	65536	128	2	1	592282	1	0
ergodis	stable	65536	128	2	1	589117	1	0
mata	stable	65536	128	2	1	649335651	1	-
