implementation	family	states	generators	outputs	repetitions	ns_per_op	classes	splits_optional
ergodis	chain	131072	1	2	1	5582416	131072	131070
boa	chain	131072	1	2	1	19581190	131072	-
boa	chain	131072	1	2	1	19368283	131072	-
ergodis	chain	131072	1	2	1	5654971	131072	131070
ergodis	chain	131072	1	2	1	5439630	131072	131070
boa	chain	131072	1	2	1	19585548	131072	-
boa	chain	131072	1	2	1	19637386	131072	-
ergodis	chain	131072	1	2	1	5675740	131072	131070
ergodis	chain	131072	1	2	1	5479434	131072	131070
boa	chain	131072	1	2	1	19547006	131072	-
boa	chain	131072	1	2	1	19610815	131072	-
ergodis	chain	131072	1	2	1	5768673	131072	131070
ergodis	chain	131072	1	2	1	5484954	131072	131070
boa	chain	131072	1	2	1	19758440	131072	-
boa	chain	131072	1	2	1	19499669	131072	-
ergodis	chain	131072	1	2	1	5647687	131072	131070
ergodis	chain	131072	1	2	1	5678094	131072	131070
boa	chain	131072	1	2	1	19482917	131072	-
boa	chain	131072	1	2	1	19810548	131072	-
ergodis	chain	131072	1	2	1	5866425	131072	131070
ergodis	chain	131072	1	2	1	5540919	131072	131070
boa	chain	131072	1	2	1	19646923	131072	-
ergodis	random	131072	4	2	1	16970764	131072	16204
boa	random	131072	4	2	1	25057729	131072	-
boa	random	131072	4	2	1	24776735	131072	-
ergodis	random	131072	4	2	1	16485200	131072	16204
ergodis	random	131072	4	2	1	16842134	131072	16204
boa	random	131072	4	2	1	24804327	131072	-
boa	random	131072	4	2	1	24897350	131072	-
ergodis	random	131072	4	2	1	17463693	131072	16204
ergodis	random	131072	4	2	1	19569469	131072	16204
boa	random	131072	4	2	1	25747284	131072	-
boa	random	131072	4	2	1	24908711	131072	-
ergodis	random	131072	4	2	1	18919667	131072	16204
ergodis	random	131072	4	2	1	16627033	131072	16204
boa	random	131072	4	2	1	24884827	131072	-
boa	random	131072	4	2	1	24829343	131072	-
ergodis	random	131072	4	2	1	16606756	131072	16204
ergodis	random	131072	4	2	1	16519242	131072	16204
boa	random	131072	4	2	1	24985395	131072	-
boa	random	131072	4	2	1	26012328	131072	-
ergodis	random	131072	4	2	1	16418154	131072	16204
ergodis	random	131072	4	2	1	17975237	131072	16204
boa	random	131072	4	2	1	24848789	131072	-
ergodis	colors	131072	4	256	1	2684965	256	0
boa	colors	131072	4	256	1	8381624	256	-
boa	colors	131072	4	256	1	7764123	256	-
ergodis	colors	131072	4	256	1	2590999	256	0
ergodis	colors	131072	4	256	1	2647716	256	0
boa	colors	131072	4	256	1	8439843	256	-
boa	colors	131072	4	256	1	7838461	256	-
ergodis	colors	131072	4	256	1	2650390	256	0
ergodis	colors	131072	4	256	1	2617980	256	0
boa	colors	131072	4	256	1	8356326	256	-
boa	colors	131072	4	256	1	8030719	256	-
ergodis	colors	131072	4	256	1	2639120	256	0
ergodis	colors	131072	4	256	1	2653807	256	0
boa	colors	131072	4	256	1	8239689	256	-
boa	colors	131072	4	256	1	7925603	256	-
ergodis	colors	131072	4	256	1	2649479	256	0
ergodis	colors	131072	4	256	1	2662974	256	0
boa	colors	131072	4	256	1	8361046	256	-
boa	colors	131072	4	256	1	7975326	256	-
ergodis	colors	131072	4	256	1	2655831	256	0
ergodis	colors	131072	4	256	1	2634601	256	0
boa	colors	131072	4	256	1	8530962	256	-
