implementation	family	states	generators	outputs	repetitions	ns_per_op	classes	splits_optional
ergodis	chain	131072	1	2	1	12937877	131072	131070
boa	chain	131072	1	2	1	27515240	131072	-
boa	chain	131072	1	2	1	26856171	131072	-
ergodis	chain	131072	1	2	1	12094115	131072	131070
ergodis	chain	131072	1	2	1	11704428	131072	131070
boa	chain	131072	1	2	1	27252450	131072	-
boa	chain	131072	1	2	1	26549070	131072	-
ergodis	chain	131072	1	2	1	11913648	131072	131070
ergodis	chain	131072	1	2	1	12307522	131072	131070
boa	chain	131072	1	2	1	27038140	131072	-
boa	chain	131072	1	2	1	26967278	131072	-
ergodis	chain	131072	1	2	1	12110053	131072	131070
ergodis	chain	131072	1	2	1	11958221	131072	131070
boa	chain	131072	1	2	1	27931967	131072	-
boa	chain	131072	1	2	1	20466691	131072	-
ergodis	chain	131072	1	2	1	8447567	131072	131070
ergodis	chain	131072	1	2	1	8684849	131072	131070
boa	chain	131072	1	2	1	19965276	131072	-
boa	chain	131072	1	2	1	19484500	131072	-
ergodis	chain	131072	1	2	1	8540059	131072	131070
ergodis	chain	131072	1	2	1	8436486	131072	131070
boa	chain	131072	1	2	1	19676447	131072	-
ergodis	random	131072	4	2	1	35806626	131072	16204
boa	random	131072	4	2	1	24712535	131072	-
boa	random	131072	4	2	1	24714509	131072	-
ergodis	random	131072	4	2	1	38185059	131072	16204
ergodis	random	131072	4	2	1	35525442	131072	16204
boa	random	131072	4	2	1	25875273	131072	-
boa	random	131072	4	2	1	24958424	131072	-
ergodis	random	131072	4	2	1	35272350	131072	16204
ergodis	random	131072	4	2	1	36266593	131072	16204
boa	random	131072	4	2	1	25001444	131072	-
boa	random	131072	4	2	1	25051507	131072	-
ergodis	random	131072	4	2	1	35964841	131072	16204
ergodis	random	131072	4	2	1	36255803	131072	16204
boa	random	131072	4	2	1	25638662	131072	-
boa	random	131072	4	2	1	25122741	131072	-
ergodis	random	131072	4	2	1	35768926	131072	16204
ergodis	random	131072	4	2	1	36613710	131072	16204
boa	random	131072	4	2	1	24902600	131072	-
boa	random	131072	4	2	1	24582353	131072	-
ergodis	random	131072	4	2	1	35964370	131072	16204
ergodis	random	131072	4	2	1	35693304	131072	16204
boa	random	131072	4	2	1	25566647	131072	-
ergodis	colors	131072	4	256	1	3851269	256	0
boa	colors	131072	4	256	1	8309058	256	-
boa	colors	131072	4	256	1	7868267	256	-
ergodis	colors	131072	4	256	1	3845267	256	0
ergodis	colors	131072	4	256	1	3802468	256	0
boa	colors	131072	4	256	1	8420897	256	-
boa	colors	131072	4	256	1	7802805	256	-
ergodis	colors	131072	4	256	1	3864564	256	0
ergodis	colors	131072	4	256	1	3815522	256	0
boa	colors	131072	4	256	1	8434312	256	-
boa	colors	131072	4	256	1	7927026	256	-
ergodis	colors	131072	4	256	1	3814811	256	0
ergodis	colors	131072	4	256	1	3891955	256	0
boa	colors	131072	4	256	1	8466512	256	-
boa	colors	131072	4	256	1	7812183	256	-
ergodis	colors	131072	4	256	1	3849986	256	0
ergodis	colors	131072	4	256	1	3886565	256	0
boa	colors	131072	4	256	1	8342070	256	-
boa	colors	131072	4	256	1	7837119	256	-
ergodis	colors	131072	4	256	1	3865335	256	0
ergodis	colors	131072	4	256	1	3846239	256	0
boa	colors	131072	4	256	1	8405529	256	-
