implementation	family	states	generators	outputs	repetitions	ns_per_op	classes	splits_optional
ergodis	composed	131072	16	2	1	243066650	131072	131070
ergodis	composed	131072	16	2	1	27847878	131072	16204
ergodis	composed	131072	16	2	1	244075638	131072	131070
ergodis	composed	131072	16	2	1	27438616	131072	16204
ergodis	composed	131072	16	2	1	244015396	131072	131070
ergodis	composed	131072	16	2	1	27632307	131072	16204
ergodis	composed	131072	16	2	1	247750942	131072	131070
ergodis	composed	131072	16	2	1	28570504	131072	16204
ergodis	composed	131072	16	2	1	231126469	131072	131070
ergodis	composed	131072	16	2	1	22664809	131072	16204
ergodis	composed	131072	16	2	1	191566285	131072	131070
ergodis	composed	131072	16	2	1	23570124	131072	16204
ergodis	composed	131072	16	2	1	200055500	131072	131070
ergodis	composed	131072	16	2	1	19959031	131072	16204
ergodis	composed	131072	16	2	1	193534399	131072	131070
ergodis	composed	131072	16	2	1	20279507	131072	16204
ergodis	composed	131072	16	2	1	195059559	131072	131070
ergodis	composed	131072	16	2	1	20130640	131072	16204
ergodis	composed	131072	16	2	1	196175376	131072	131070
ergodis	composed	131072	16	2	1	21397628	131072	16204
ergodis	composed	131072	16	2	1	193946466	131072	131070
ergodis	composed	131072	16	2	1	20328768	131072	16204
