file	bytes	mtime_utc	sha256
c985-c880-g8-compact-band15-16.drat	577765376	2026-08-30T09:42:07Z	6770e5c5688a2a0224631c4b5a82a435ab225c4b334c8860604fe36b00e79646
c985-c880-g8-compact-exact15.drat	303038464	2026-08-30T09:42:07Z	2157f616b5e47a2e2a54024bfba40085367b33d8af1a4bb713d0cb9b2a671e93
c985-c880-g8-compact-exact16.drat	384827392	2026-08-30T09:42:07Z	9990ab67e8fed923cb38905ceb4c95447dc5c97326dd4e77067ec700b4b14a46
c985-c880-g8-compact-le16.slot-incomplete.drat	1119879168	2026-08-30T09:27:15Z	aad2e729235be261bb9fee7a7d91157465bfc2ba997c4e5e1873e253de685f5a
c985-c880-g8-compact-sequential-le16.no-lower-incomplete.drat	778043392	2026-08-30T09:36:15Z	cd0f9cfe4e7af3ae910fab8eaa0420ffb8cd62375e5cd7f1e8f4fb6eeca8a244
c985-c880-g8-exact15-orbit11.drat	448790528	2026-08-30T09:46:42Z	8f46653cfd9264e9f119aa11ed9c0255da54f53974061c5d81c8fefc97e11ad4
c985-c880-g8-exact15-orbit11-seed1.drat	246415360	2026-08-30T09:46:42Z	4c829ff3c80ed2796be8ab5831f1f58fd212d4d48b3cc39550e1736cc174eab4
c985-c880-g8-exact15-orbit1.drat	411041792	2026-08-30T09:46:42Z	0dbfe53c07b9d06032d5051ab7d0bf50827a2f0d51233a8f72affa296e98ada6
c985-c880-g8-exact15-orbit1-seed1.drat	219152384	2026-08-30T09:46:42Z	af25fc7d6adf3206c0e4cd519eca7ec795ddcfd204be8e2007e3ab239082a090
c985-c880-g8-exact15-orbit46.drat	433061888	2026-08-30T09:46:41Z	c554d76ca060c76e756561406ffc82f2bdf600efba65edbb3e7125b04c108c07
c985-c880-g8-exact15-orbit46-seed1.drat	211812352	2026-08-30T09:46:42Z	1d76298d67aeb93da299f7bf743f2cac50a2167139d5baf906f5f0782c83116b
c985-c880-g8-exact16-orbit11.drat	351272960	2026-08-30T09:46:42Z	e1ffab7e08c31a3076d89cd77ec8982bf43948c3684718d5f6379e850d8d32f8
c985-c880-g8-exact16-orbit11-seed1.drat	232783872	2026-08-30T09:46:41Z	d4087e167124b323513420f49d65e9d8fdaf4d4371a932a43502fd3358de104e
c985-c880-g8-exact16-orbit1.drat	430964736	2026-08-30T09:46:42Z	055cd57858dc945bd178a0fbe4c0b434ba07aac8f094439a5f543081edfc1c94
c985-c880-g8-exact16-orbit1-seed1.drat	233832448	2026-08-30T09:46:42Z	19d77932d64d43639229050d2613859f82ce5ff8337d46273db3c6a1cbd79586
c985-c880-g8-exact16-orbit46.drat	330301440	2026-08-30T09:46:43Z	13dd4a9bfda695d6e5f673986a2c5c0bd88aea85134495fbbea1cf545fa3bbac
c985-c880-g8-exact16-orbit46-seed1.drat	221249536	2026-08-30T09:46:42Z	0d5568fd20e4786fab5aaf6c36223861fc1d4b9bb27775d6b78c3d56f7145af1
c985-c880-g8-strengthened-w15-s11-t12.drat	287309824	2026-08-30T10:01:13Z	ea6485d7c1202a162c4717f16e0d858ed091f776505f37b7edf3c4b57e4805a6
c985-c880-g8-w15-s11-t12.drat	513802240	2026-08-30T09:56:17Z	37ca768070233cdbb667fc09bac024919d872d95bbe0aa80138f55701b01cec5
c985-c880-g8-w15-s11-t18.drat	1302331392	2026-08-30T10:12:16Z	2cb01666c28543822a5cf935647e98073590cb90a9dba56e7792f34456f32323
c985-c880-g8-w15-s11-t1.drat	1362100224	2026-08-30T10:12:18Z	e1251b2c520823371b348e8b232d48925a35bb8ce835804ba3b5612cf740eba1
c985-c880-g8-w15-s11-t21.drat	1312817152	2026-08-30T10:12:17Z	b4fdc21a206ca788be9c49bcdbedfec9379fef778a890e1ab0a7edcd376ea297
c985-c880-g8-w15-s11-t23.drat	746586112	2026-08-30T10:12:18Z	b54c8b79b447333a32081f6e7a135847139e30c8a60012a7acff7bf6b70e8d42
c985-c880-g8-w15-s11-t26.drat	761266176	2026-08-30T10:12:17Z	5551e81bfd031f7c349d73703bfe69df8de9e01d798f224e45a662f59fade780
c985-c880-g8-w15-s11-t27.drat	747634688	2026-08-30T10:12:17Z	bf771894d68b1b2d338d83adb713e2e8cdfa611c9635b9a77f29565e3886b04b
c985-c880-g8-w15-s11-t33.drat	746586112	2026-08-30T10:12:15Z	2a0fcb4976bbbe23e0b56579dd19496429178c767fecfdc5500e2a5abde0e380
c985-c880-g8-w15-s11-t3.drat	727711744	2026-08-30T10:12:17Z	9c83df545cc54052a7d8c2f0d8d9b4a18246f3c317400e4f33b61d8625425b9d
c985-c880-g8-w15-s11-t46.drat	723517440	2026-08-30T10:12:18Z	0b9f0f408bc9d6d055f0036c06585ecd73aff6beb617573ae727c10ca32e4392
c985-c880-g8-w15-s11-t49.drat	710934528	2026-08-30T10:12:15Z	bb167cfd4276325336a3e575757c83d7eedfa54783a2a120a07be0ed4c748cf7
c985-c880-g8-w15-s11-t55.drat	734003200	2026-08-30T10:12:17Z	df317e5e50bbbef5d722959f1a671c02b935819e4eec9bb883b7f09f2df71f9a
