implementation	family	states	generators	outputs	repetitions	ns_per_op	classes	splits_optional
ergodis	chain	131072	1	2	1	8683984	131072	131070
boa	chain	131072	1	2	1	27191573	131072	-
boa	chain	131072	1	2	1	27757025	131072	-
ergodis	chain	131072	1	2	1	7579468	131072	131070
ergodis	chain	131072	1	2	1	7741760	131072	131070
boa	chain	131072	1	2	1	27325653	131072	-
boa	chain	131072	1	2	1	27249681	131072	-
ergodis	chain	131072	1	2	1	8014818	131072	131070
ergodis	chain	131072	1	2	1	7749725	131072	131070
boa	chain	131072	1	2	1	27592540	131072	-
boa	chain	131072	1	2	1	27470523	131072	-
ergodis	chain	131072	1	2	1	7854580	131072	131070
ergodis	chain	131072	1	2	1	7398571	131072	131070
boa	chain	131072	1	2	1	26905171	131072	-
boa	chain	131072	1	2	1	25022296	131072	-
ergodis	chain	131072	1	2	1	6149467	131072	131070
ergodis	chain	131072	1	2	1	6440188	131072	131070
boa	chain	131072	1	2	1	20515967	131072	-
boa	chain	131072	1	2	1	19597678	131072	-
ergodis	chain	131072	1	2	1	5737148	131072	131070
ergodis	chain	131072	1	2	1	5352834	131072	131070
boa	chain	131072	1	2	1	19588140	131072	-
ergodis	random	131072	4	2	1	15081111	131072	16204
boa	random	131072	4	2	1	30966399	131072	-
boa	random	131072	4	2	1	27253438	131072	-
ergodis	random	131072	4	2	1	15010650	131072	16204
ergodis	random	131072	4	2	1	14859769	131072	16204
boa	random	131072	4	2	1	24517085	131072	-
boa	random	131072	4	2	1	25187092	131072	-
ergodis	random	131072	4	2	1	15016882	131072	16204
ergodis	random	131072	4	2	1	14803124	131072	16204
boa	random	131072	4	2	1	25224732	131072	-
boa	random	131072	4	2	1	25152387	131072	-
ergodis	random	131072	4	2	1	15223746	131072	16204
ergodis	random	131072	4	2	1	14889064	131072	16204
boa	random	131072	4	2	1	24514831	131072	-
boa	random	131072	4	2	1	24597955	131072	-
ergodis	random	131072	4	2	1	15089737	131072	16204
ergodis	random	131072	4	2	1	14324012	131072	16204
boa	random	131072	4	2	1	24980979	131072	-
boa	random	131072	4	2	1	24888517	131072	-
ergodis	random	131072	4	2	1	16291053	131072	16204
ergodis	random	131072	4	2	1	14563248	131072	16204
boa	random	131072	4	2	1	27460123	131072	-
ergodis	redundant	131072	16	2	1	20972908	131072	16204
boa	redundant	131072	16	2	1	86517079	131072	-
boa	redundant	131072	16	2	1	65808924	131072	-
ergodis	redundant	131072	16	2	1	17322343	131072	16204
ergodis	redundant	131072	16	2	1	17560366	131072	16204
boa	redundant	131072	16	2	1	65295368	131072	-
boa	redundant	131072	16	2	1	65558047	131072	-
ergodis	redundant	131072	16	2	1	18295193	131072	16204
ergodis	redundant	131072	16	2	1	17796145	131072	16204
boa	redundant	131072	16	2	1	63306386	131072	-
boa	redundant	131072	16	2	1	67283910	131072	-
ergodis	redundant	131072	16	2	1	17558262	131072	16204
ergodis	redundant	131072	16	2	1	17375782	131072	16204
boa	redundant	131072	16	2	1	64625401	131072	-
boa	redundant	131072	16	2	1	64276702	131072	-
ergodis	redundant	131072	16	2	1	23025399	131072	16204
ergodis	redundant	131072	16	2	1	25673878	131072	16204
boa	redundant	131072	16	2	1	67024958	131072	-
boa	redundant	131072	16	2	1	65226400	131072	-
ergodis	redundant	131072	16	2	1	18319328	131072	16204
ergodis	redundant	131072	16	2	1	17200296	131072	16204
boa	redundant	131072	16	2	1	61986569	131072	-
ergodis	composed	131072	16	2	1	17735562	131072	16204
boa	composed	131072	16	2	1	57107487	131072	-
boa	composed	131072	16	2	1	56769469	131072	-
ergodis	composed	131072	16	2	1	18033377	131072	16204
ergodis	composed	131072	16	2	1	18296507	131072	16204
boa	composed	131072	16	2	1	57116715	131072	-
boa	composed	131072	16	2	1	58403119	131072	-
ergodis	composed	131072	16	2	1	18301175	131072	16204
ergodis	composed	131072	16	2	1	17802006	131072	16204
boa	composed	131072	16	2	1	57707064	131072	-
boa	composed	131072	16	2	1	58966638	131072	-
ergodis	composed	131072	16	2	1	17459097	131072	16204
ergodis	composed	131072	16	2	1	17747414	131072	16204
boa	composed	131072	16	2	1	57902137	131072	-
boa	composed	131072	16	2	1	58478209	131072	-
ergodis	composed	131072	16	2	1	17932709	131072	16204
ergodis	composed	131072	16	2	1	20445386	131072	16204
boa	composed	131072	16	2	1	59749284	131072	-
