implementation	family	states	generators	outputs	repetitions	ns_per_op	classes	splits_optional
ergodis	chain	131072	1	2	1	8345631	131072	131070
boa	chain	131072	1	2	1	35877882	131072	-
boa	chain	131072	1	2	1	35119569	131072	-
ergodis	chain	131072	1	2	1	8139498	131072	131070
ergodis	chain	131072	1	2	1	8301138	131072	131070
boa	chain	131072	1	2	1	36034663	131072	-
boa	chain	131072	1	2	1	35234393	131072	-
ergodis	chain	131072	1	2	1	8413207	131072	131070
ergodis	chain	131072	1	2	1	8228603	131072	131070
boa	chain	131072	1	2	1	35320404	131072	-
boa	chain	131072	1	2	1	34685842	131072	-
ergodis	chain	131072	1	2	1	8155367	131072	131070
ergodis	chain	131072	1	2	1	8350029	131072	131070
boa	chain	131072	1	2	1	35441399	131072	-
boa	chain	131072	1	2	1	34536473	131072	-
ergodis	chain	131072	1	2	1	8302130	131072	131070
ergodis	chain	131072	1	2	1	8402837	131072	131070
boa	chain	131072	1	2	1	35476223	131072	-
boa	chain	131072	1	2	1	35215798	131072	-
ergodis	chain	131072	1	2	1	8196494	131072	131070
ergodis	chain	131072	1	2	1	8324872	131072	131070
boa	chain	131072	1	2	1	35390604	131072	-
ergodis	random	131072	4	2	1	21750273	131072	16204
boa	random	131072	4	2	1	39778605	131072	-
boa	random	131072	4	2	1	39876237	131072	-
ergodis	random	131072	4	2	1	22172790	131072	16204
ergodis	random	131072	4	2	1	33102132	131072	16204
boa	random	131072	4	2	1	40386568	131072	-
boa	random	131072	4	2	1	40059519	131072	-
ergodis	random	131072	4	2	1	22454043	131072	16204
ergodis	random	131072	4	2	1	21660216	131072	16204
boa	random	131072	4	2	1	39555500	131072	-
boa	random	131072	4	2	1	40357844	131072	-
ergodis	random	131072	4	2	1	22042738	131072	16204
ergodis	random	131072	4	2	1	21689981	131072	16204
boa	random	131072	4	2	1	40370417	131072	-
boa	random	131072	4	2	1	40056223	131072	-
ergodis	random	131072	4	2	1	22147272	131072	16204
ergodis	random	131072	4	2	1	21778987	131072	16204
boa	random	131072	4	2	1	39861700	131072	-
boa	random	131072	4	2	1	40542959	131072	-
ergodis	random	131072	4	2	1	22226961	131072	16204
ergodis	random	131072	4	2	1	21905893	131072	16204
boa	random	131072	4	2	1	40581541	131072	-
ergodis	redundant	131072	16	2	1	27437334	131072	16204
boa	redundant	131072	16	2	1	88712399	131072	-
boa	redundant	131072	16	2	1	89605843	131072	-
ergodis	redundant	131072	16	2	1	27610296	131072	16204
ergodis	redundant	131072	16	2	1	27528653	131072	16204
boa	redundant	131072	16	2	1	86602521	131072	-
boa	redundant	131072	16	2	1	86046275	131072	-
ergodis	redundant	131072	16	2	1	26964132	131072	16204
ergodis	redundant	131072	16	2	1	27213226	131072	16204
boa	redundant	131072	16	2	1	85320053	131072	-
boa	redundant	131072	16	2	1	85456967	131072	-
ergodis	redundant	131072	16	2	1	27567637	131072	16204
ergodis	redundant	131072	16	2	1	27087773	131072	16204
boa	redundant	131072	16	2	1	88714834	131072	-
boa	redundant	131072	16	2	1	87097231	131072	-
ergodis	redundant	131072	16	2	1	27146612	131072	16204
ergodis	redundant	131072	16	2	1	27132195	131072	16204
boa	redundant	131072	16	2	1	85115601	131072	-
boa	redundant	131072	16	2	1	85949915	131072	-
ergodis	redundant	131072	16	2	1	27452993	131072	16204
ergodis	redundant	131072	16	2	1	27430711	131072	16204
boa	redundant	131072	16	2	1	87890990	131072	-
ergodis	colors	131072	4	256	1	2767774	256	0
boa	colors	131072	4	256	1	14151042	256	-
boa	colors	131072	4	256	1	13723947	256	-
ergodis	colors	131072	4	256	1	2752626	256	0
ergodis	colors	131072	4	256	1	2659423	256	0
boa	colors	131072	4	256	1	14009669	256	-
boa	colors	131072	4	256	1	13751548	256	-
ergodis	colors	131072	4	256	1	2700589	256	0
ergodis	colors	131072	4	256	1	2695470	256	0
boa	colors	131072	4	256	1	14087805	256	-
boa	colors	131072	4	256	1	13934088	256	-
ergodis	colors	131072	4	256	1	2741826	256	0
ergodis	colors	131072	4	256	1	2711068	256	0
boa	colors	131072	4	256	1	14088856	256	-
boa	colors	131072	4	256	1	13602450	256	-
ergodis	colors	131072	4	256	1	2700900	256	0
ergodis	colors	131072	4	256	1	2657298	256	0
boa	colors	131072	4	256	1	14131806	256	-
boa	colors	131072	4	256	1	14104065	256	-
ergodis	colors	131072	4	256	1	2710448	256	0
ergodis	colors	131072	4	256	1	2704125	256	0
boa	colors	131072	4	256	1	13971188	256	-
