family	implementation	round	ns_per_compile	peak_rss_kb
random-32	baseline	1	611298020	90456
random-32	wide	1	130350231	45212
random-128	baseline	1	1150826593	169280
random-128	wide	1	216663245	72872
random-32	baseline	2	581438018	90364
random-32	wide	2	114896940	45260
random-128	baseline	2	968061668	169060
random-128	wide	2	188311731	72740
random-32	baseline	3	512286094	90400
random-32	wide	3	111140638	45288
random-128	baseline	3	968239509	169016
random-128	wide	3	184324438	72820
random-32	baseline	4	502955693	90360
random-32	wide	4	107743923	45228
random-128	baseline	4	966287305	169216
random-128	wide	4	184087095	72876
random-32	baseline	5	490079230	90348
random-32	wide	5	107133747	45424
random-128	baseline	5	986112644	169264
random-128	wide	5	183598907	72784
random-32	baseline	6	499361982	90316
random-32	wide	6	111129507	45228
random-128	baseline	6	960944337	169148
random-128	wide	6	184271940	72644
random-32	baseline	7	492257875	90324
random-32	wide	7	110310702	45404
random-128	baseline	7	961717457	169120
random-128	wide	7	186036355	72700
