family	implementation	round	ns_per_compile	peak_rss_kb
random-32	baseline	1	124332610	45228
random-32	wide	1	100006848	46336
random-128	baseline	1	202207907	72668
random-128	wide	1	159530687	73272
random-32	baseline	2	122174374	45204
random-32	wide	2	101148472	46284
random-128	baseline	2	201466978	72696
random-128	wide	2	157655308	73216
random-32	baseline	3	111899581	45240
random-32	wide	3	90957083	46128
random-128	baseline	3	170265777	72588
random-128	wide	3	130239598	73384
random-32	baseline	4	97525963	45144
random-32	wide	4	83339472	46164
random-128	baseline	4	170881252	72712
random-128	wide	4	130212087	73400
random-32	baseline	5	100717860	45196
random-32	wide	5	83104585	46216
random-128	baseline	5	170640194	72792
random-128	wide	5	129812494	73412
random-32	baseline	6	97113104	45212
random-32	wide	6	82760896	46332
random-128	baseline	6	172340266	72712
random-128	wide	6	132787678	73420
random-32	baseline	7	102429023	45228
random-32	wide	7	81891068	46144
random-128	baseline	7	167960819	72688
random-128	wide	7	130754256	73424
