family	implementation	round	ns_per_compile	peak_rss_kb
random-32	baseline	1	132166212	45236
random-32	wide	1	129257216	45308
random-128	baseline	1	215064088	72688
random-128	wide	1	206013317	72816
random-32	baseline	2	133356268	45052
random-32	wide	2	121220484	45076
random-128	baseline	2	216051817	72684
random-128	wide	2	184853323	72720
random-32	baseline	3	115573951	45048
random-32	wide	3	99329848	45312
random-128	baseline	3	182626607	72544
random-128	wide	3	169442671	72588
random-32	baseline	4	107425090	45252
random-32	wide	4	98886904	45260
random-128	baseline	4	184452847	72476
random-128	wide	4	166192741	72708
random-32	baseline	5	105056781	44988
random-32	wide	5	101933726	45260
random-128	baseline	5	184099740	72460
random-128	wide	5	166346277	72588
random-32	baseline	6	111378991	45244
random-32	wide	6	98359952	45288
random-128	baseline	6	183242354	72496
random-128	wide	6	166690238	72760
random-32	baseline	7	108861664	44940
random-32	wide	7	97233155	45264
random-128	baseline	7	185601576	72448
random-128	wide	7	167147478	72900
