application	depth	seed_bound	profiles	raw_states	classes	raw_payload_bytes	quotient_bytes	certificate_bytes	raw_build_ns	quotient_build_ns	direct_ns_per_query	raw_sequential_ns_per_query	quotient_sequential_ns_per_query	raw_random_ns_per_query	quotient_random_ns_per_query	direct_checksum	raw_checksum	quotient_checksum	quotient_first	sequential_queries	raw_sequential_total_ns	quotient_sequential_total_ns	random_queries	raw_random_total_ns	quotient_random_total_ns
hierarchy	4	3	[9, 12, 12, 12, 12]	57	25	768	912	128	592113	27150	7597	5	5	6	6	15880858595636525018	12490025963868996875	12490025963868996875	false	7290000	42078409	42237666	7290000	46866918	48314914
hierarchy	4	3	[9, 12, 12, 12, 12]	57	25	768	912	128	543692	22242	5689	4	4	4	4	15880858595636525018	12490025963868996875	12490025963868996875	true	7290000	29972202	30807458	7290000	33356685	34683246
hierarchy	4	3	[9, 12, 12, 12, 12]	57	25	768	912	128	618813	16531	5408	4	4	4	4	15880858595636525018	12490025963868996875	12490025963868996875	false	7290000	30245831	30216376	7290000	33260577	34585785
hierarchy	4	3	[9, 12, 12, 12, 12]	57	25	768	912	128	671831	16972	5379	4	4	4	4	15880858595636525018	12490025963868996875	12490025963868996875	true	7290000	30264196	30469408	7290000	33564622	34822385
hierarchy	4	3	[9, 12, 12, 12, 12]	57	25	768	912	128	686749	16802	5394	4	4	4	4	15880858595636525018	12490025963868996875	12490025963868996875	false	7290000	30476301	30725435	7290000	33342438	34809421
hierarchy	4	3	[9, 12, 12, 12, 12]	57	25	768	912	128	550586	17061	5398	4	4	4	4	15880858595636525018	12490025963868996875	12490025963868996875	true	7290000	30393376	30380503	7290000	33555615	34573771
hierarchy	4	3	[9, 12, 12, 12, 12]	57	25	768	912	128	863248	16701	5366	4	4	4	4	15880858595636525018	12490025963868996875	12490025963868996875	false	7290000	30390541	30440774	7290000	33625266	34672175
hierarchy	4	256	[65536, 65792, 65792, 65792, 65792]	328704	2049	4469760	1352944	16320	2060013329	26194666	0	4	4	11	4	0	0	0	false	10616832	43850318	43996120	2000000	23303942	9811743
hierarchy	4	256	[65536, 65792, 65792, 65792, 65792]	328704	2049	4469760	1352944	16320	2049778066	25658958	0	4	4	11	4	0	0	0	true	10616832	43920569	44181355	2000000	23038176	9829206
hierarchy	4	256	[65536, 65792, 65792, 65792, 65792]	328704	2049	4469760	1352944	16320	2057187986	26143921	0	4	4	11	4	0	0	0	false	10616832	44304974	44469862	2000000	23135348	9865955
hierarchy	4	256	[65536, 65792, 65792, 65792, 65792]	328704	2049	4469760	1352944	16320	2060993263	26215715	0	4	4	11	4	0	0	0	true	10616832	44073843	44303101	2000000	23024741	9914074
hierarchy	4	256	[65536, 65792, 65792, 65792, 65792]	328704	2049	4469760	1352944	16320	2065778154	26278942	0	4	4	11	4	0	0	0	false	10616832	44161978	44140668	2000000	22916169	9854393
hierarchy	4	256	[65536, 65792, 65792, 65792, 65792]	328704	2049	4469760	1352944	16320	2080438285	25903813	0	4	4	11	4	0	0	0	true	10616832	44073462	44470782	2000000	22900429	9807215
hierarchy	4	256	[65536, 65792, 65792, 65792, 65792]	328704	2049	4469760	1352944	16320	2073827403	26099347	0	4	4	11	4	0	0	0	false	10616832	44256593	44418363	2000000	22937398	9818526
