n_good	n_classes
78	27
195	702
209	2106
210	702
222	3159
227	1053
231	2808
233	2106
234	1053
236	2106
237	2106
238	2106
239	2106
240	1053
241	1053
242	3159
243	2808
244	4212
245	6318
246	2106
247	7371
248	3159
249	1053
250	4212
251	4212
252	12636
253	15795
254	15795
255	23517
256	18954
257	16848
258	20358
259	22113
260	14742
261	28782
262	32643
263	37908
264	56160
265	50544
266	52650
267	88452
268	75816
269	127413
270	98280
271	124254
272	106353
273	172692
274	157950
275	231660
276	226746
277	260091
278	301158
279	309699
280	335907
281	370656
282	402246
283	468585
284	519129
285	565812
286	630747
287	637065
288	716742
289	771849
290	761319
291	883116
292	1041417
293	1111968
294	1171989
295	1180413
296	1391013
297	1405638
298	1501578
299	1563705
300	1699893
301	1978587
302	2056509
303	2130570
304	2217618
305	2331342
306	2442258
307	2688309
308	2830464
309	3054051
310	3276936
311	3371706
312	3567267
313	3659175
314	3773952
315	4214106
316	4062474
317	4433130
318	4567212
319	4841694
320	4841694
321	4959981
322	5291325
323	5278689
324	5393817
325	5565105
326	6028425
327	5869773
328	6043167
329	6024213
330	6249555
331	6239025
332	6475950
333	6525675
334	6793956
335	6432777
336	6561945
337	6614946
338	6799221
339	6534918
340	6485427
341	6621264
342	6352281
343	6798168
344	6618105
345	6291324
346	6363279
347	6438042
348	6234813
349	6101082
350	5696730
351	5929911
352	5593185
353	5474547
354	5462262
355	5220423
356	5281848
357	4998942
358	4798521
359	4778514
360	4550715
361	4345731
362	4150926
363	3945942
364	3923478
365	3632850
366	3532464
367	3272022
368	3234816
369	3061188
370	2847312
371	2747277
372	2508246
373	2534571
374	2302911
375	2286765
376	2060721
377	1866969
378	1855737
379	1783782
380	1578447
381	1540188
382	1427517
383	1295190
384	1249560
385	1204632
386	1083537
387	977184
388	862407
389	892944
390	713232
391	688311
392	665496
393	580203
394	583362
395	488592
396	427518
397	407511
398	371709
399	354510
400	276588
401	270621
402	249561
403	249561
404	209547
405	193752
406	150930
407	172692
408	150228
409	153738
410	114777
411	113724
412	85293
413	69498
414	60723
415	66339
416	52650
417	50544
418	40014
419	50544
420	23166
421	18954
422	12636
423	23868
424	22113
425	9477
426	15795
427	14742
428	13689
429	9477
430	6318
431	10530
432	15444
433	6318
434	2106
435	5967
436	4212
438	1053
440	2106
442	2106
449	1053
450	702
455	1053
463	2106
469	2106
477	351
479	1053
579	702
1104	2925
1200	1053
1300	9558
1404	6904
